PAY002	/vol/huge/depienne/minion/fast5/001_20220412_FAME3/no_sample/20220412_1232_MN37911_FAR54812_bfd8a256	barcode01
PAY004	/vol/huge/depienne/minion/fast5/001_20220412_FAME3/no_sample/20220412_1232_MN37911_FAR54812_bfd8a256	barcode02
PAY005	/vol/huge/depienne/minion/fast5/001_20220412_FAME3/no_sample/20220412_1232_MN37911_FAR54812_bfd8a256	barcode03
PAY005_F1-R1	/vol/huge/depienne/minion/fast5/001_20220412_FAME3/no_sample/20220412_1232_MN37911_FAR54812_bfd8a256	barcode04
PAY011	/vol/huge/depienne/minion/fast5/001_20220412_FAME3/no_sample/20220412_1232_MN37911_FAR54812_bfd8a256	barcode05
PAY013	/vol/huge/depienne/minion/fast5/001_20220412_FAME3/no_sample/20220412_1232_MN37911_FAR54812_bfd8a256	barcode06
PAY015	/vol/huge/depienne/minion/fast5/001_20220412_FAME3/no_sample/20220412_1232_MN37911_FAR54812_bfd8a256	barcode07
PAY016	/vol/huge/depienne/minion/fast5/001_20220412_FAME3/no_sample/20220412_1232_MN37911_FAR54812_bfd8a256	barcode08
PAY017	/vol/huge/depienne/minion/fast5/001_20220412_FAME3/no_sample/20220412_1232_MN37911_FAR54812_bfd8a256	barcode09
PAY023	/vol/huge/depienne/minion/fast5/001_20220412_FAME3/no_sample/20220412_1232_MN37911_FAR54812_bfd8a256	barcode10
PAY031	/vol/huge/depienne/minion/fast5/001_20220412_FAME3/no_sample/20220412_1232_MN37911_FAR54812_bfd8a256	barcode11
PAY039	/vol/huge/depienne/minion/fast5/001_20220412_FAME3/no_sample/20220412_1232_MN37911_FAR54812_bfd8a256	barcode12
PAY100	/vol/huge/depienne/minion/fast5/001_20220412_FAME3/no_sample/20220412_1232_MN37911_FAR54812_bfd8a256	barcode13
Pad213_17	/vol/huge/depienne/minion/fast5/001_20220412_FAME3/no_sample/20220412_1232_MN37911_FAR54812_bfd8a256	barcode14
LEC013	/vol/huge/depienne/minion/fast5/001_20220412_FAME3/no_sample/20220412_1232_MN37911_FAR54812_bfd8a256	barcode15
LEC015	/vol/huge/depienne/minion/fast5/001_20220412_FAME3/no_sample/20220412_1232_MN37911_FAR54812_bfd8a256	barcode16
LEC019	/vol/huge/depienne/minion/fast5/001_20220412_FAME3/no_sample/20220412_1232_MN37911_FAR54812_bfd8a256	barcode17
LEC022	/vol/huge/depienne/minion/fast5/001_20220412_FAME3/no_sample/20220412_1232_MN37911_FAR54812_bfd8a256	barcode18
LEC035	/vol/huge/depienne/minion/fast5/001_20220412_FAME3/no_sample/20220412_1232_MN37911_FAR54812_bfd8a256	barcode19
LEC040	/vol/huge/depienne/minion/fast5/001_20220412_FAME3/no_sample/20220412_1232_MN37911_FAR54812_bfd8a256	barcode20
LEC043	/vol/huge/depienne/minion/fast5/001_20220412_FAME3/no_sample/20220412_1232_MN37911_FAR54812_bfd8a256	barcode21
LEC043_F1-R1	/vol/huge/depienne/minion/fast5/001_20220412_FAME3/no_sample/20220412_1232_MN37911_FAR54812_bfd8a256	barcode22
LEC046	/vol/huge/depienne/minion/fast5/001_20220412_FAME3/no_sample/20220412_1232_MN37911_FAR54812_bfd8a256	barcode23
LEC048	/vol/huge/depienne/minion/fast5/001_20220412_FAME3/no_sample/20220412_1232_MN37911_FAR54812_bfd8a256	barcode24
VA33_211	/vol/huge/depienne/minion/fast5/001_20220412_FAME3/no_sample/20220412_1232_MN37911_FAR54812_bfd8a256	barcode25
VA33_211_F1-R1	/vol/huge/depienne/minion/fast5/001_20220412_FAME3/no_sample/20220412_1232_MN37911_FAR54812_bfd8a256	barcode26
VA33_213	/vol/huge/depienne/minion/fast5/001_20220412_FAME3/no_sample/20220412_1232_MN37911_FAR54812_bfd8a256	barcode27
VA33_228	/vol/huge/depienne/minion/fast5/001_20220412_FAME3/no_sample/20220412_1232_MN37911_FAR54812_bfd8a256	barcode28
VA33_235	/vol/huge/depienne/minion/fast5/001_20220412_FAME3/no_sample/20220412_1232_MN37911_FAR54812_bfd8a256	barcode29
M00_234	/vol/huge/depienne/minion/fast5/001_20220412_FAME3/no_sample/20220412_1232_MN37911_FAR54812_bfd8a256	barcode30